ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	Chinese (Traditional, Taiwan)	Indonesian	Persian	Hebrew
MMI-0011	프로필 설정	Profile Settings	Ajustes de perfil	Réglages du profil	Configurações de perfil	账户设置	Profile Settings	Profile settings	Profile settings	Benutzerprofil-Einstellungen	Paramètres du profil	Impostazioni profilo	Ajustes de perfil	Definições do perfil	Profile Settings	Profielinstellingen	Profilindstillinger	Profilinställningar	Profilinnstillinger	Ustawienia profilu użytkownika	Nastavení profilu	Nastavenia profilu	Настройки профиля	Налаштування профілю	Nastavitve uporabniškega profila	Profile Settings	Profile Settings	Ρυθμίσεις προφίλ	Ρυθμίσεις προφίλ	Felhasználói profil beállítások	Kullanıcı profili ayarları	إعدادات صفحة التعريف	प्रोफाइल सेटिंग्स	Profile Settings	Profile Settings	Profile Settings	Profile Settings	Profile Settings	Profile Settings	Profile Settings	Profile Settings	Profile Settings	Profile Settings	Setelan Profil	تنظیمات نمایه	הגדרות פרופיל
MMI-0012	사용자 프로필	User Profile	Perfil del usuario	Profil d’utilisateur	Perfil do usuário	账户	ユーザープロフィール	User profile	User profile	Benutzerprofil	Profil utilisateur	Profilo utente	Perfil de usuario	Perfil do utilizador	User Profile	Gebruikersprofiel	Brugerprofil	Användarprofil	Brukerprofil	Profil użytkownika	Uživatelský profil	Profil používateľa	Профиль пользователя	Профіль користувача	Uporabniški profil	User Profile	User Profile	Προφίλ χρήστη	Προφίλ χρήστη	Felhasználói profil	Kullanıcı profili	صفحة تعريف المستخدم	उपयोगकर्ता प्रोफाइल	User Profile	User Profile	User Profile	User Profile	User Profile	User Profile	User Profile	User Profile	User Profile	User Profile	Profil Pengguna	نمایه کاربر	פרופיל משתמש
MMI-0013	로그아웃	Logout	Logout	Logout	Logout	退出登录	Logout	Logout	Logout	Abmelden	Se décon.	Logout	cerrar ses.	Sair	Logout	Uitloggen	Log ud	Logga ut	Logg ut	Wyloguj	Odhlásit	Odhlásiť sa	Выход	Вихід	Odjava	Logout	Logout	Αποσύνδ.	Αποσύνδ.	Kijelentk.	Çıkış	الخروج	लॉग आउट	Logout	Logout	Logout	Logout	Logout	Logout	Logout	Logout	Logout	Logout	Logout	خروج	התנתק
MMI-0014	프로필 삭제	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Supprimez le profil	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	حذف الملف	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile	Delete Profile
MMI-0015	일반	General	General	Général	Geral	通用	一般	General	General	Allgemein	Généraux	Generale	General	Geral	General	Algemeen	Generelt	Allmänt	Generelt	Ogólne	Obecné	Všeobecné	Общие	Загальні	Splošno	General	General	Γενικές ρυθμίσεις	Γενικές ρυθμίσεις	Általános	Genel	عام	सामान्य	General	General	General	General	General	General	General	General	General	General	Umum	عمومی	כללי
MMI-0016	초기화	Reset	Puesta a cero	Réinitialiser	Restaurar	重置	初期化	Reset	Reset	Zurücksetzen	Réinitialiser	Reset	Restablecer	Reposição	Resetare	Reset	Nulstilling	Nollställning	Reset	Zerowanie	Vynulovat	Resetovanie	Сброс	Скидання	Ponastavitev	Resetiranje	Нулиране	Μηδενισμός	Μηδενισμός	Visszaállítás	Sıfırla	إعادة ضبط	रीसेट करें	রিসেট করুন	रीसेट करा	రీసెట్	மீட்டமை	ફરીથી સેટ કરો	ರಿಸೆಟ್ ಮಾಡಿ	ପୁନଃସେଟ୍ କର	റീസെറ്റ് ചെയ്യുക	ਰੀਸੈੱਟ ਕਰੋ	重設	Reset	Reset	איפוס
MMI-0017	시스템 전체 초기화	Reset All	Restaurar todo	Tout restaurer	Restaurar tudo	全部重置	システム全体の初期化	Reset all	Reset all	Alle zurücksetzen	Tout réinitialiser	Ripristina tutto	Restablecer todo	Repor tudo	Reset All	Alles resetten	Nulstil alle	Återställ alla	Tilbakestill alle	Resetuj wszystko	Resetovat vše	Resetovať všetko	Сбросить все	Reset All	Reset All	Reset All	Reset All	Reset All	Reset All	Összes visszaállítása	Tümünü sıfırla	إعادة ضبط الكل	सभी को रीसेट करें	Reset All	Reset All	Reset All	Reset All	Reset All	Reset All	Reset All	Reset All	Reset All	Reset All	Reset Semua	بازنشانی همه	אפס הכול
MMI-0018	종료	종료							End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End	End
MMI-0019	전화	Phone	Teléfono	Téléphone					Phone																																					
MMI-0020	기기 연결	Device Connections	Conexión de dispositivos	Connexion des appareils	Conexão do dispositivo	设备连接	Device Connections	Phone connections	Phone connections		Connexions du téléphone																					اتصالات الهاتف														
MMI-0021	연결	Connect	Conectar	Connecter	Conectar	连接	接続	Connect	Connect	Verbinden	Connecter	Connetti	Conectar	Ligar	Connect	Verbinden	Tilslut	Anslut	Koble til	Połącz	Připojit	Pripojiť	Подключить	Підключити	Vzpostavi povezavo	Connect	Connect	Σύνδεση	Σύνδεση	Csatlakozás	Bağlan	الوصل	कनेक्ट करें	Connect	Connect	Connect	Connect	Connect	Connect	Connect	Connect	Connect	Connect	Hubungkan	اتصال	חיבור
MMI-0022	신규 추가	Add New	Agregar nuevo	Ajouter nouvel	Adicionar novo	添加	新規追加	Add new	Add new	Neu hinzufügen	Ajouter nouveau	Aggiungi nuovo	Añadir nuevo	Adicionar novo	Add New	Nieuw toevoegen	Tilføj ny	Lägg till ny	Legg til ny	Dodaj nowe	Přidat	Pridať nový	Добавить новое	Додати новий	Dodaj novo	Add New	Add New	Προσθήκη νέας	Προσθήκη νέας	Új hozzáadása	Yeni ekle	إضافة جديد	नया जोड़ें	Add New	Add New	Add New	Add New	Add New	Add New	Add New	Add New	Add New	Add New	Tambah Baru	افزودن جدید	הוסף חדש
MMI-0023	삭제	Delete	Eliminar	Supprimer	Apagar	删除	削除	Delete	Delete	Entfernen	Supprimer	Cancella	Eliminar	Excluir	Ștergere	Verwijderen	Fjern	Ta bort	Slette	Usuń	Odstranit	Odstrániť	Удалить	Видалити	Izbriši	Obriši	Изтрий	Διαγραφή	Διαγραφή	Törlés	Sil	حذف	डिलीट करें	ডিলিট করুন	हटवा	తొలగించండి	நீக்கவும்	કાઢી નાખો	ಅಳಿಸಿ	ବିଲୋପ କର	ഇല്ലാതാക്കുക	ਮਿਟਾਓ	刪除	Hapus	حذف	מחיקה
MMI-0024	설정	Setup	Setup	Setup	Setup	Setup	Setup	Setup	Settings	Einstellungen	Réglages	Impostazioni	Ajustes	Definições	Setări	Instellingen	Indstillinger	Inställningar	Innstillinger	Ustawienia	Nastavení	Nastavenia	Настройки	Налаштування	Nastavitve	Postavke	Настройки	Ρυθμίσεις	Ρυθμίσεις	Beállítások	Ayarlar	الإعدادات	सेटिंग्स	সেটিংস	सेटिंग्ज	సెట్టింగ్‌లు	அமைப்புகள்	સેટિંગ્સ	ಸೆಟ್ಟಿಂಗ್‌ಗಳು	ସେଟିଂସମୂହ	ക്രമീകരണം	ਸੈਟਿੰਗਾਂ	設定	Setelan	Settings	הגדרות
MMI-0025	차량	Vehicle	Vehículo	Véhicule	Veículo	车辆	車両	Vehicle	Vehicle	Fahrzeug	Véhicule	Veicolo	Vehículo	Veículo	Vehicle	Voertuig	Køretøj	Fordon	Bilen	Pojazd	Vozidlo	Vozidlo	Автомобиль	Автомобіль	Vozilo	Vehicle	Vehicle	Όχημα	Όχημα	Jármű	Araç	السيارة	वाहन	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Kendaraan	خودرو	רכב
MMI-0026	디지털 키	Digital Key							Digital key																																					
MMI-0027	스마트폰 키	Smartphone key	Llave de celular	Clé du téléphone intelligent	Chaves de celular	智能手机钥匙	スマートフォンキー	Smartphone key	Smartphone key	Smartphone Schlüssel	Clef du smartphone	Smartphone key	Llave de smartphone	Chave Smartphone	Cheie smartphone	Smartphone sleutel	Smartphone nøgle	Smartphone nyckel	Smarttelefon nøkkel	Klucz smartfona	Chytrý mobil	Kľúč smartfónu	Ключ-Смартфон	Ключ-смартфон	Ključ na pametnem telefonu	Smartphone ključ	Смартфон ключ	Κλειδί Smartphone	Κλειδί Smartphone	Okostelefonkulcs	Akıllı telefon anahtarı	مفتاح الهاتف الذكي	स्मार्टफ़ोन की	স্মার্টফোন কী	स्मार्टफोन की	స్మార్ట్‌ఫోన్ కీ	ஸ்மார்ட்ஃபோன் கீ	સ્માર્ટફોન કી	ಸ್ಮಾರ್ಟ್‌ಫೋನ್‌ ಕೀ	ସ୍ମାର୍ଟଫୋନ୍ କୀ	സ്മാർട്ട്ഫോൺ കീ	ਸਮਾਰਟਫ਼ੋਨ ਕੀ	智慧型手機鑰匙	Smartphone Key	Smartphone key	מפתח טלפון חכם
MMI-0028	SW 정보/업데이트	SW Info/Update	Inf. de software	Info logiciel	Inf. de software	SW信息	ソフトウェア情報/更新	Version info	Version info		Infos version																					معلومات الإصدار														
MMI-0029	빠른 설치	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update	Express Update
MMI-0030	지금 설치	Update Now	Actualizar ahora	Mettez à jour maintenant	Atualizar agora	立即更新	すぐに開始	Update now	Update now	Jetzt aktualisieren	Faire la mise à jour maintenant	Aggiorna ora	Actualizar ahora	Atualizar agora	Actualizează acum	Nu updaten	Opdater nu	Uppdatera nu	Oppdater nå	Zaktualizuj teraz	Aktualizovat nyní	Aktualizovať teraz	Обновить сейчас	Оновити зараз	Posodobi zdaj	Ažurirati sada	Актуализация сега	Ενημέρωση τώρα	Ενημέρωση τώρα	Frissítés most	Şimdi güncelle	التحديث الآن	अभी अपडेट करें	Update Now	Update Now	Update Now	Update Now	Update Now	Update Now	Update Now	Update Now	Update Now	Update Now	Update Sekarang	اکنون به‌روز شود	עדכן כעת
MMI-0031	다음에 하기	Later	Más tarde	Plus tard	Mais tarde	稍后	あとで	Later	Later	Später	Ultérieurement	Dopo	Más tarde	Mais tarde	Mai târziu	Later	Senere	Senare	Senere	Później	Později	Neskôr	Позже	Пізніше	Pozneje	Kasnije	По-късно	Αργότερα	Αργότερα	Később	Daha sonra	لاحقاً	बाद में	Later	Later	Later	Later	Later	Later	Later	Later	Later	Later	Nanti	بعداً	אחר כך
MMI-0032	마지막 단계 업데이트	Finish Update	Finalizar actualización	Finaliser la mise à jour	Finalizar atualização	最后阶段更新	更新の確定	Finalise update	Finalise update																																					
MMI-0033	즉시 시작	Update Now	Actualizar ahora	Mettez à jour maintenant	Atualizar agora	立即更新	すぐに開始	Update now																																						
MMI-0034	지도	Map	Mapa	Carte	Mapa	地图	地図	Map	Map	Karte	Carte	Mappa	Mapa	Mapa	Hartă	Kaart	Kort	Karta	Kart	Mapa	Mapa	Mapa	Карта	Мапа	Zemljevid	Karta	Карта	Χάρτης	Χάρτης	Térkép	Harita	الخريطة	मैप	মানচিত্র	नकाशा	మ్యాప్	வரைபடம்	નકશો	ನಕ್ಷೆ	ମାନଚିତ୍ର	ഭൂപടം	ਨਕਸ਼ਾ	地圖	Peta	نقشه	מפה
MMI-0035	최근 목적지	Previous Destinations	DestiNos anteriores	Destinations Précédentes	Destinos anteriores	先前目的地	目的地履歴	Previous destinations	Previous destinations	Letzte Ziele	Destinations précédentes	Destinazioni precedenti	Destinos anteriores	Destinos anteriores	Destinații anterioare	Vorige bestemm.	Tidligere destinationer	Tidigare destinationer	Tidligere destinasjoner	Poprzednie cele	Předchozí cíle	Posledné ciele	Последние цели	Попередні пункти призн.	Predhodni cilji	Preth. odred.	Предишни дестинации	Προήγ. Προορισμοί	Προήγ. Προορισμοί	Korábbi úti célok	Önceki varış yerleri	الوجهات السابقة	पिछले गंतव्य	Previous Destinations	Previous Destinations	Previous Destinations	Previous Destinations	Previous Destinations	Previous Destinations	Previous Destinations	Previous Destinations	Previous Destinations	之前的目的地	Destinasi Sebelumnya	مقصدهای قبلی	יעדים קודמים
MMI-0036	등록 위치	Carnet d`adressse							Address book																																					
MMI-0037	주변 검색	POI Categories	Categorías de PDI	Catégories PI	Categorias de PDI	搜索周边	周辺検索	Search POI	Search POI		Catégorie POI																					فئة نقطة الاهتمام														
MMI-0038	목적지로 설정	Set as Destination	Establecer destino	Régler la destination	Definir destino	Set as Destination	目的地に設定	Set as destination	Set as Destination		Définir comme destination																					تعيين كوجهة														
MMI-0039	경유지 추가	Add Waypoint	Agregar punto de ruta	Ajouter point de route	Adicionar ponto intermediário	添加途经点	経由地に追加	Add tourpoint	Add tourpoint		Ajouter étape																					إضافة نقطة جولة 														
MMI-0040	경로	Route																																												
MMI-0041	경로 편집	Edit Route							Plan tour		Définir un parcours																					تخطيط الجولة														
MMI-0042	경로 탐색	Calculate							Calculate		Calculer																					حساب														
MMI-0043	탐색 옵션	Route Options	Opciones de ruta	Options d'itinéraire	Opções de rota	路线选项	経路探索オプション	Route Options																																						
MMI-0044	안내 시작	Start Guidance							Start guidance		Lancer la navigation																					تشغيل الدليل 														
MMI-0045	재탐색	Reroute	Recalcular ruta	Recalculer trajet	Recalcular rota	重新计算路径	再探索	Reroute	Reroute	Umleiten	Recalculer l'itinéraire	Ricalcola percorso	Calcular nueva ruta	Redirecionar	Căutare rută diferită	Andere route	Ændr rute	Omdirigera	Ny rute	Zmień trasę	Objížďka	Upraviť trasu	Пересчет маршрута	Змінити існуючий маршрут	Spremeni pot	Preusmjeravanje	Пренасочване	Αλλαγή διαδρομής	Αλλαγή διαδρομής	Újratervezés	Yeni rota oluştur	تغيير الطريق	पुनः आकलन करें	Reroute	Reroute	Reroute	Reroute	Reroute	Reroute	Reroute	Reroute	Reroute	Reroute	Ubah rute	مسیریابی مجدد	נתב מחדש
MMI-0046	내비게이션 안내 우선	Navigation Volume Priority	Prioridad de volumen a navegación	Priorité du volume de navigation	Prioridade ao volume de navegação	导航音量优先	ナビゲーションボリューム優先事項	Navigation prioritised	Navigation prioritised		La navigation est prioritaire																					الأولوية لدليل الملاحة														
MMI-0047	Scale																																													
MMI-0048	Auto 50 m																																													
MMI-0049	50 m																																													
MMI-0050	내비게이션	Navigation	Navegación	Navigation	Navegação	导航	ナビゲーション	Navigation	Navigation	Navigation	Navigation	Navigazione	Navegación	Navegação	Navigație	Navigatie	Navigation	Navigering	Enkel navigasjon	Nawigacja	Navigace	Navigácia	Навигация	Навігація	Navigacija	Navigacija	Навигация	Πλοήγηση	Πλοήγηση	Navigáció	Navigasyon	التنقل	पथ प्रदर्शन	Navigation	Navigation	Navigation	Navigation	Navigation	Navigation	Navigation	Navigation	Navigation	導航	Navigasi	ناوبری	ניווט
MMI-0051	지도 화면	Map	Mapa	Carte	Mapa	地图	地図	Map																																						
MMI-0052	주변 교통정보 표시	Display Traffic																																												
MMI-0053	주변 정보	Nearby Info.							Nearby info.		Infos de proximité																					معلومات محيطك														
MMI-0054	주변 시설	Nearby POIs							Nearby POI		Point d'intérêt à proximité																					نقطة اهتمام قريبة														
MMI-0055	증강 현실								AR		RA																					الواقع المعزز														
MMI-0056	사고 속보	Accident Alerts							Accident alert		Alerte d'accident																					تنبيه بوقوع حادث														
MMI-0057	내 차 위치 공유	Location Sharing	Ubicación compartida	Location Sharing	Localização compartilhada	Location Sharing	私の車位置共有	Location sharing	Location sharing	Standortfreigabe	Partage de position géographique	Condivisione posizione	Compartir ubicación	Partilha de localização	Location Sharing	Locatie delen	Placeringsdeling	Platsdelning	Deling av plassering	Udostępnianie lokalizacji	Sdílení polohy	Zdieľanie polohy	Обмен данными о местоположении	Спільний доступ до розташування	Deljenje lokacije	Location Sharing	Location Sharing	Κοινή χρ. τοπ	Κοινή χρ. τοπ	Helymegosztás	Konum paylaşımı	مشاركة الموقع	स्थान साझाकरण	Location Sharing	Location Sharing	Location Sharing	Location Sharing	Location Sharing	Location Sharing	Location Sharing	Location Sharing	Location Sharing	Location Sharing	Berbagi lokasi	اشتراک‌گذاری مکان	שיתוף מיקום
MMI-0058	전송	Send	Enviar	Envoyer	Enviar	发送	送信	Send																																						
MMI-0059	우리집	Home	Home	Home					Home																																					
MMI-0060	즐겨찾기	Favorites	Favoritos	Favoris	Favoritos	保存位置	お気に入り	Favourites																																						
MMI-0061	등록위치																																													
MMI-0062	등록위치 추가																																													
MMI-0063	편집	Edit	Editar	Modifier	Editar	编辑	編集	Edit	Edit	Bearbeiten	Modifier	Modifica	Editar	Editar	Editare	Bewerken	Rediger	Redigera	Rediger	Edytuj	Upravit	Upraviť	Изменить	Змінити	Uredi	Uređivanje	Редактиране	Επεξεργασία	Επεξεργασία	Szerkesztés	Düzenle	تعديل	बदलें	Edit	Edit	Edit	Edit	Edit	Edit	Edit	Edit	Edit	編輯	Edit	حذف	ערוך
MMI-0064	사무실	Work	Trabajo	Travail	Trabalho	办公室	会社	Office	Office																																					
MMI-0065	저장	Save	Guardar	Sauvegarder	Salvar	登录	登録	Save	Set	Einstellen	Régler	Imposta	Establecer	Definir	Setare	Instellen	Indstil	Ställ in	Innstill	Ustaw	Nastavit	Nastaviť	Задать	Задати	Nastavi	Podešavanje	Задаване	Ρύθμιση	Ρύθμιση	Beállítás	Ayarla	ضبط	सेट करें	সেট করুন	सेट करा	సెట్ చేయి	அமை	સેટ કરો	ಹೊಂದಿಸಿ	ସେଟ୍ କର	സജ്ജമാക്കുക	ਸੈੱਟ ਕਰੋ	設定	Set	Set	הגדר
MMI-0066	위치 저장	Save	Guardar	Sauvegarder	Salvar	登录	登録	Save	Add to address book		Ajouter au répertoire																					إضافة إلى دفتر العناوين														
MMI-0067	목적지 설정 시 내 차 위치 자동 전송	Share vehicle location when a destination is set.							Share vehicle location when a destination is set.		Une fois la destination définie, partager l'emplacement																					مشاركة الموقع عند التعيين كوجهة														
MMI-0068	내비게이션 설정	Navigation Settings	Configuración de la navegación	Réglages de navigation	Configurações de navegação	导航设置	ナビゲーション設定	Navigation Settings	Navigation settings	Navigations einstellungen	Paramètres de navigation	Impostazioni di navigazione	Ajustes de navegación	Definições de navegação	Setări navigare	Navigatie-instellingen	Navigations indstillinger	Navigerings inställningar	Navigasjons innstillinger	Ustawienia nawigacji	Nastavení navigace	Nastavenia navigácie	Настройки навигации	Налаштування навігації	Nastavitve navig. Sistema	Postavke navigacije	Настройки за навигация	Ρυθμίσεις πλοήγησης	Ρυθμίσεις πλοήγησης	Navigációs beállítások	Navigasyon ayarları	إعدادات الملاحة	नेविगेशन सेटिंग्स	Navigation Settings	Navigation Settings	Navigation Settings	Navigation Settings	Navigation Settings	Navigation Settings	Navigation Settings	Navigation Settings	Navigation Settings	導航設定	Setelan Navigasi	تنظیمات ناوبری	הגדרות ניווט
MMI-0069	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM
MMI-0070	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM
MMI-0071	FM 방송 스캔	Scan FM	Escanear FM	Balayer FM	Escanear FM	扫描FM	Scan FM	Scan FM	Scan FM	FM scannen	Balayage FM	Scans. FM	Escáner FM	Procurar FM	Scan FM	FM scannen	Scan FM	Skanna FM	Skann FM	Skanuj FM	Sken FM	Vyhľadať FM	Поиск FM	Пошук FM	Išči FM	Scan FM	Scan FM	Σάρωση FM	Σάρωση FM	FM keresés	FM taraması	مسح قنوات FM	FM को स्कैन करें।	Scan FM	Scan FM	Scan FM	Scan FM	Scan FM	Scan FM	Scan FM	Scan FM	Scan FM	Scan FM	Pindai FM	اسکن FM	סרוק FM
MMI-0072	새로 고침	Refresh	Actualizar	Actualiser	Atualiizar	更新	更新	Refresh	Refresh	Aktualisieren	Mettre à jour	Aggiorna	Actualizar	Atualizar	Refresh	Vernieuwen	Opdater	Uppdatera	Oppdater	Aktualizuj	Aktualizovat	Aktualizovať	Обновить	Оновити	Osveži	Refresh	Refresh	Ανανέωση	Ανανέωση	Frissítés	Güncelle	تحديث	नया करना	Refresh	Refresh	Refresh	Refresh	Refresh	Refresh	Refresh	Refresh	Refresh	Refresh	Refresh	تازه‌سازی	רענן
