ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	PER	HEB	Ins	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi
MMI-0023	ECO/NORMAL/SPORT 초기화	Reset ECO/NORMAL/SPORT	Restaurar ECO/NORMAL/SPORT	Réinitialiser ECO/NORMAL/SPORT	Restaurar ECO/NORMAL/SPORT	重置 ECO/NORMAL/SPORT	ECO/NORMAL/SPORTリセット	Reset (ECO/NORMAL/SPORT)	Reset (ECO/NORMAL/SPORT)	Zurücksetzen (ECO/NORMAL/SPORT)	Réinitialiser (ECO/NORMAL/SPORT)	Ripristina (ECO/NORMAL/SPORT)	Reiniciar (ECO/NORMAL/SPORT)	Repor (ECO/NORMAL/SPORT)		Reset (ECO/NORMAL/SPORT)	Nulstilling (ECO/NORMAL/SPORT)	Återställ (ECO/NORMAL/SPORT)	Tilbakestill (ECO/NORMAL/SPORT)	Zerowanie (ECO/NORMAL/SPORT)	Reset (ECO/NORMAL/SPORT)	Resetovať (ECO/NORMAL/SPORT)	Сброс (ECO/NORMAL/SPORT)						Nollaa (ECO/NORMAL/SPORT)	Visszaállítás (ECO/NORMAL/SPORT)	Sıfırla (ECO/NORMAL/SPORT)	إعادة ضبط ECO/NORMAL/SPORT	بازنشانی ECO/NORMAL/SPORT	Reset (ECO/NORMAL/SPORT)	Reset ECO/NORMAL/SPORT	ECO/NORMAL/SPORT रीसेट करें									
MMI-0024	Electric Vehicle	Electric Vehicle	Vehículo eléctrico	Véhicule électrique	Veículo elétrico	电动车	Electric Vehicle	Electric vehicle	Electric vehicle	Elektrofahrzeug	Véhicule électrique	Veicolo elettrico	Vehículo eléctrico	Veículo elétrico		Elektrisch voertuig	Elektrisk køretøj	Elfordon	Elkjøretøy	Napęd elektryczny	Elektromobil	Elektrické vozidlo	Электромобиль						Sähköauto	Elektromos jármű	Elektrikli araç	السيارة الكهربائية	خودروی برقی	רכב חשמלי	Kendaraan Listrik	इलेक्ट्रिक वाहन									
MMI-0025	EV	EV	EV	EV	EV	EV	EV	EV	EV	EV	EV	EV	EV	EV		EV	EV	EV	EV	EV	EV	EV	EV						EV	EV	EV	EV	EV	EV	EV	EV									
MMI-0026	EV 설정	EV Settings	Ajustes EV	Réglages VE	Ajustes EV	EV 设置	EV設定	EV settings	EV settings	EV-Einstellungen	Paramètres VE	Impostazioni	Ajustes VE	Definições de VE		Instellingen EV	EV-indstillinger	Elfordon inställn.	EV innstillinger	Ustawienia	Nastavení EV	Nastavenia EV	Настройки EV						EV-asetukset	EV beállítások	EV ayarları	إعدادات EV	تنظیمات EV	הגדרות EV.	Setelan EV	EV सेटिंग्स									
MMI-0027	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM	FM		FM	FM	FM	FM	FM	FM	FM	FM						FM	FM	FM	FM	FM	FM	FM	FM									
MMI-0028	FM 라디오 노이즈 조절	FM Radio Noise Control	Control de ruido de radio FM	Contrôle de bruit de radio FM	Controle de ruído da rádio FM	FM 电台噪声控制		Radio FM noise cancellation	Radio FM noise cancellation	FM Radio Rauschunterdrückung	Réduction des bruits FM	Cancellazione del rumore FM	Cancelación de ruido para radio FM	Redução de ruído de rádio FM		FM radio-ruisonderdrukking	FM støjannullering	FM Brusreducering	FM støydemping	Wyciszanie szumów radia FM	Filtrování šumu při poslechu v pásmu FM	Zrušenie šumu rádia FM	Шумоподавление радио FM						FM-radion kohinanvaimennus	FM rádió zajelnyomás	FM radyo gürültü önleme	الحدّ من التشويش	حذف نویز رادیو FM	בקרת רעש רדיו	Kontrol Derau Radio FM	रेडियो FM नॉइज़ केन्सलेशन									
MMI-0029	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM		FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM		FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM						FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM	FM/AM									
MMI-0030	GPS 시간 적용	GPS Time	Hora del GPS	Heure GPS	Hora do GPS	GPS 卫星时间	GPS時間適用	GPS time	GPS time	GPS Zeit	Heure GPS	Ora GPS	Hora del GPS	Hora do GPS		GPS-tijd	GPS-klokkeslæt	GPS-tid	GPS-tid	Czas GPS	Čas GPS	Čas GPS	Время GPS						GPS-aika	GPS-idő	GPS saati	تتوقيت ال GPS	زمان GPS	זמן GPS	Waktu GPS	GPS समय									
MMI-0031	KIA PAY	KIA PAY	KIA PAY	KIA PAY	K-CARPAY	<N/A>	N/A	KIA PAY	KIA PAY	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>									
MMI-0032	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic		Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic						Live Dynamic	Live Dynamic	Live Dynamic	ديناميكي مباشر	Live Dynamic	Live Dynamic	Live Dynamic	Live Dynamic									
MMI-0033	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink		MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink						MirrorLink	MirrorLink	MirrorLink	MirrorLink	MirrorLink	 MirrorLink	MirrorLink	MirrorLink									
MMI-0034	MirrorLink	Enable MirrorLink	Habilitar MirrorLink	Activer MirrorLink	Habilitar MirrorLink	启用 MirrorLink	MirrorLink	Enable MirrorLink	Enable MirrorLink	MirrorLink aktivieren	Activer MirrorLink	Attiva MirrorLink	Activar MirrorLink	Ativar o MirrorLink		MirrorLink inschakelen	Aktiver MirrorLink	Aktivera MirrorLink	Aktiver MirrorLink	Aktywuj MirrorLink	Aktivace aplikace MirrorLink	Aktivovať MirrorLink	Включить MirrorLink						Ota MirrorLink käyttöön	MirrorLink aktiválása	MirrorLink'yu etkinleştir	تفعيل MirrorLink	فعال کردن MirrorLink	איפשור MirrorLink	<N/A>	MirrorLink सक्षम करें									
MMI-0035	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL		NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL						NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	 רגיל	NORMAL	NORMAL									
MMI-0036	확인	OK	OK	OK	OK	确定	確認	OK	OK	OK	OK	OK	OK	OK		OK	OK	OK	OK	OK	OK	OK	OK						OK	OK	OK	موافق	تأیید	תקין	OKE	ठीक									
MMI-0037	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV		PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV						PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV	PHEV									
MMI-0038	QLS(퀀텀 로직 서라운드)	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround		Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround		Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround						Quantum Logic Surround	Quantum Logic Surround	Quantum Logic Surround	الصوت الثلاثي الأبعاد	Quantum Logic Surround	Quantum Logic היקפי	Quantum Logic Surround	क्वांटम लॉजिक ध्वनि									
MMI-0039	SoundHound 검색 기록	SoundHound History	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	SoundHound検索履歴	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)		N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)						N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)									
MMI-0040	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT		SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT	SPORT						SPORT	SPORT	SPORT	SPORT	SPORT	ספורט	SPORT	SPORT									
MMI-0041	SW 정보/업데이트	SW Info/Update	Inf. SW/Actualizar	Info logiciel/Mise à jour	Informação do SW/Atualizar	SW 信息/更新	ソフトウェア情報/アップデート	Version info/Update	Version info/Update	Versionsinfo/Aktualisieren	Version/Mettre à jour	Info versione/Aggiorna	Info de Vers./Actualizar	Versão/Atualizar		Versie/Bijwerken	Versionsinfo/Opdater	Versions-information/Uppdatera	Versjonsinfo/Oppdatering	Wersja oprogram./Aktualizuj	Info o verzích/Aktualizovat	Info o SW/Aktualizovať	Инфо о версии/Обновить						Versiotiedot/Päivitä	Verzió infó/Frissítés	Sürüm bilgisi/Güncelle	معلومات الإصدار/تحديث	اطلاعات نسخه/به‌روزرسانی	פרטי/עדכון גרסה	Info/Update Perangkat Lunak	SW जानकारी/अद्यतित करें									
MMI-0042	SW 정보/업데이트	Update	Actualizar	Mettre à jour	Atualizar	更新	ソフトウェア情報/アップデート	Update	Update	Aktualisieren	Mettre à jour	Aggiorna	Actualizar	Atualizar		Bijwerken	Opdater	Uppdatera	Oppdater	Aktualizuj	Aktualizovat	Aktualizovať	Обновить						Päivitä	Frissítés	Güncelle	تحديث	N/A (KO/CH Only)	N/A (KO/CH Only)	Update	N/A (KO/CH Only)									
MMI-0043	Tune 조작 설정	TUNE Knob Function	Función perilla TUNE	Fonction touche TUNE	Função do botão TUNE	TUNE 旋钮功能	Tune操作設定	TUNE knob function	TUNE knob function	Funktion desTUNE-Reglers	Fonction du bouton TUNE	Funz. manopolaTUNE	Función botón TUNE	Função dobotão TUNE		TUNE-knop-functie	TUNE-knapfunktion	TUNE-vredetsfunktion	Funksjon TUNE-skruknapp	Funkcjapokrętła TUNE	Funkce knoflíku	Funkcia regul.TUNE	Функцияперекл. TUNE						TUNE-säätimen toiminto	A TUNE tekerő-gomb funkciója	TUNE düğmesiişlevi	وظيفة المفتاح TUNE	عملکرد پیچ کنترل تنظیم	תפקוד בורר TUNE	Fungsi Kenop TUNE	नॉब फ़ंक्शन ट्यून करें									
MMI-0044	USB로 등록 위치 내보내기	Export Address Book to USB	Exportar libreta de dir. al dispositivo USB	Exporter Carnet d'adresse de l'appareil USB	Exportar Catálogo/endereços p/o disp. USB	将标注点导出至 USB	USBにメモリ地点をエクスポート	Export Address Book to USB	Export address book/previous destinations to USB	<N/A>	Exporter le répertoire vers l'USB	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	تصدير دليل العناوين إلى USB	<N/A>	<N/A>	<N/A>	<N/A>									
MMI-0045	USB로 등록 위치 내보내기	Export Address Book to USB Device	Exportar libreta de dir. al dispositivo USB	Exporter Carnet d'adresse de l'appareil USB	Exportar agenda de endereços para o USB	将标注点导出至 USB	USBにメモリ地点をエクスポート	Export address book to USB	Export address book to USB	Adressbuch auf USB exportieren	Exporter le répertoire vers l'USB	Esporta rubrica su USB	Exportar agenda al USB	Exportar livro de endereços para USB		Adresboek exporteren via USB	Eksporter adressebog til USB	Exportera adressbok till USB	Eksporter adressebok til USB	Eksportuj książkę adresową na USB	Exportovat adresář do zařízení USB	Exportovať adresár do USB	Экспорт адресной книги на USB						Vie osoitekirja USB:hen	Címlista exportálása USB-re	Adres defterini USB'ye aktar	تصدير دليل العناوين إلى USB	<N/A>	יצוא פנקס הכתובות ל- USB	<N/A>	<N/A>									
MMI-0046	USB로 등록 위치/최근 목적지 내보내기	Export Address Book/Previous Destinations to USB	Exportar libreta de direcciones/destinos previos del USB	Exporter le carnet d'adresses/les destinations précédentes sur la clé USB	Exportar catálogo de endereços/destinos anteriores para o USB	将标注点导出至 USB	USBからメモリ地点、最近の目的地をエクスポート	Export address book to USB	Export address book/previous destinations to USB	Adressbuch auf USB exportieren	Exporter le carnet d'adresses/les destinations précédentes depuis le périphérique USB	Esporta rubrica su USB	Exportar agenda al USB	Exportar livro de endereços para USB		Adresboek exporteren via USB	Eksporter adressebog til USB	Exportera adressbok till USB	Eksporter adressebok til USB	Eksportuj książkę adresową na USB	Exportovat adresář do zařízení USB	Exportovať adresár do USB	Экспорт адресной книги на USB						Vie osoitekirja USB:hen	Címlista exportálása USB-re	Adres defterini USB'ye aktar	تصدير دفتر العناوين/ الوجهات السابقة إلى جهاز الـUSB	<N/A>	יצוא פנקס הכתובות ל- USB	<N/A>	<N/A>									
MMI-0047	USB에 저장	Save to USB Device	Guardar en dispositivo USB	Sauvegarder sur l'appareil USB	Salvar no dispositivo USB	保存到 USB	USBに保存	Save to USB	Save to USB	Auf USB speichern	Enregistrer sur USB	Salva su USB	Guardar en USB	Guardar em USB		Opslaan naar USB	Gem på USB	Spara på USB	Lagre på USB	Zapisz na USB	Uložit na USB	Uložiť na USB	Сохранить на USB						Tallenna USB-laitteeseen	Mentés USB-re	USB'ye kaydet	الحفظ على الـUSB	در USB ذخیره شود	שמור ב- USB	<N/A>	USB डिवाइस में सहेजें									
MMI-0048	USB에서 등록 위치 가져오기	Import Address Book from USB	Importar libreta de dir. desde disp. USB	Importer Carnet d'adresse de l'appareil USB	Importar Catálogo/endereços p/o disp. USB	从 USB 中导入标注点	USBからメモリ地点をインポート	<N/A>	Import address book/previous destinations from USB	<N/A>	Importer le répertoire depuis l'USB	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	استيراد دليل العناوين من USB	<N/A>	<N/A>	<N/A>	<N/A>									
MMI-0049	USB에서 등록 위치 가져오기	Import Address Book from USB Device	Importar libreta de dir. desde disp. USB	Importer Carnet d'adresse de l'appareil USB	Importar agenda de endereços do USB	从 USB 中导入标注点	USBからメモリ地点をインポート	Import address book from USB	Import address book from USB	Adressbuch von USB importieren	Importer le répertoire depuis l'USB	Importa rubrica da USB	Importar agenda del USB	Importar livro de endereços de USB		Adresboek importeren via USB	Importer adressebog fra USB	Importera adressbok från USB	Importer adressebok fra USB	Importuj książkę adresową z USB	Importovat adresář ze zařízení USB	Importovať adresár z USB	Импорт адресной книги с USB						Tuo osoitekirja USB:stä	Címlista importálása az USB-ről	Adres defterini USB'den aktar	استيراد دليل العناوين من USB	<N/A>	ייבוא פנקס הכתובות מה- USB	<N/A>	<N/A>									
